#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:39:23       1    289     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:24       0    302     58      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:24       1    287     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:25       0    306     59      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:25       1    292     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:26       0    305     58      -    100     24      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:26       1    290     69      -    100     23      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:27       0    313     60      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:27       1    291     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:28       0    313     59      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:28       1    289     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:29       0    309     59      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:29       1    287     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:30       0    316     60      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:30       1    293     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:31       0    311     60      -     97     26      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:31       1    289     69      -     98     26      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:32       0    315     60      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:32       1    291     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:39:33       0    307     60      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:33       1    284     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:34       0    314     60      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:34       1    290     69      -    100     18      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:35       0    313     61      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:35       1    290     70      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:36       0    309     61      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:36       1    286     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:37       0    320     61      -     98     23      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:37       1    295     70      -     98     21      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:38       0    315     61      -     97     20      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:38       1    290     70      -     97     20      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:39       0    312     61      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:39       1    288     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:40       0    318     62      -    100     17      0      0      0      0   9501   1965  23289      4      0
