# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    768    778 
    1    332     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    824    781 
    0    346     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    748    772 
    1    325     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    823    771 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    765 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    808    775 
    0    342     62      -    100     18      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    767    772 
    1    321     73      -    100     18      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    730    691 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    762    765 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    822    769 
    0    348     62      -     99     50      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2807   3066 
    1    326     73      -     99     48      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2652   2839 
    0    337     62      -    100     18      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    769    786 
    1    315     73      -    100     18      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    807    791 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    810    804 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    805    783 
    0    354     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    670    688 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    810    770 
    0    352     62      -    100     20      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2600   2822 
    1    330     73      -    100     20      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2672   2649 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    335     62      -     98     72      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    746    756 
    1    312     74      -     98     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    825    775 
    0    352     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    776    772 
    1    331     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    801    783 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    750    772 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    791    774 
    0    347     62      -     97     71      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2291   2535 
    1    325     73      -     98     74      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1867    776 
    0    343     62      -     98     50      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   1458   2135 
    1    322     73      -     99     52      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1975   2134 
    0    338     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    763    778 
    1    316     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    829    782 
    0    346     62      -     98     61      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    761    778 
    1    325     73      -     99     59      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    827    783 
    0    353     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    766    795 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    762 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    681    688 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    824    776 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    763    770 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    810    769 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2541   2833 
    1    333     73      -     98     84      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2402   2832 
    0    339     62      -     98     51      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    754    777 
    1    316     74      -     99     54      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    826    789 
    0    347     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    774    771 
    1    327     74      -     98     84      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    825    776 
    0    354     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    744    773 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    811    770 
    0    348     62      -     98     61      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2490   1791 
    1    327     73      -     98     62      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    817    769 
    0    351     62      -     98     71      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    755    775 
    1    330     73      -     98     72      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    807    773 
    0    352     62      -     99     45      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    757    771 
    1    331     74      -     99     43      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    823    777 
    0    353     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    694    689 
