# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    331     64      -    100     35      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    686    693 
    1    311     71      -    100     31      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2435   2664 
    0    334     64      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    766    737 
    1    313     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    667    639 
    0    330     63      -    100     20      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    762    674 
    1    311     71      -    100     20      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    698    657 
    0    332     63      -    100     29      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2439   1046 
    1    313     71      -    100     25      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1060    904 
    0    333     63      -     99     74      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2267   2443 
    1    313     71      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2287    804 
    0    332     63      -     99     70      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    742    753 
    1    312     71      -     99     70      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    697    700 
    0    330     63      -     99     78      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2475   2671 
    1    312     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1763    658 
    0    328     63      -     99     76      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    767    714 
    1    309     71      -     99     76      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    655    700 
    0    327     63      -     99     76      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    750    666 
    1    307     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    647   1767 
    0    332     63      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2490   2687 
    1    313     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1891    706 
    0    333     62      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2444   1516 
    1    314     71      -     99     41      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    736    705 
    0    331     63      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    756    678 
    1    312     71      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    647    663 
    0    330     63      -    100     20      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    743    700 
    1    312     72      -     99     56      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    703    700 
    0    334     63      -     99     56      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    780    689 
    1    316     72      -     99     43      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    646    706 
